license_number,application_number,business_name,license_type,application_fee,lic_fee_amount,dbe,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_city,business_state,business_zipcode,mailing_address_1,mailing_city,mailing_state,mailing_zipcode,establishment_address_1,establishment_city,establishment_state,establishment_zip_code,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,app_create_date,geocoded_column,:@computed_region_4aer_mww6,activity_date,version,Address,lon,lat,town_pop,Distance
MR282474,MRN282474,"Full Harvest Moonz, Inc.",Marijuana Retailer,300,10000,Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,10 Primrose Way,Haverhill,MA,1830,22 Veronica Lane,Weymouth,MA,2189,101 Plaistow Road,Haverhill,MA,1830,4230,15,Yes,1351851,2019-03-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.10221074799995, 42.814500330000044]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,10+Primrose+Way+Haverhill+MA,-71.0917753,42.794787,60879,16.2
MR281804,MRN281804,Liberty Market,Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,35 North Main Street,Lanesborough,MA,1237,10 West Street,Allenstown,NH,3275,35 N. Main Street,Lanesborough,MA,1237,3000,46,Yes,1328439,2018-08-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.22812602499994, 42.51881900800004]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,35+North+Main+Street+Lanesborough+MA,-73.2286277,42.5185565,3091,275
MR281950,MRN281950,"Sanctuary Medicinals, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1351 Beacon Street,Brookline,MA,2446,234 Taylor Street,Littleton,MA,1460,1351 Beacon Street,Brookline,MA,2446,4997,157,Yes,1335444,2018-10-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.12246496199998, 42.341419003000055]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1351+Beacon+Street+Brookline+MA,-71.1223388,42.341541,58732,53.1
MR281745,MRN281745,"Green Railroad Group, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,68 Main Street,Lenox,MA,1240,68 Main Street,Lenox,MA,1240,82 Railroad Street,Great Barrington,MA,1230,2832,38,Yes,1345499,2018-07-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.36305102999995, 42.195706993000044]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,68+Main+Street+Lenox+MA,-73.2835849,42.3589132,5025,256
MR282314,MRN282314,"Comm Ave Canna, Inc.",Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,1030 Commonwealth Ave,Brookline,MA,2215,1030 Commonwealth Ave,Brookline,MA,2215,1030 Commonwealth Ave,Brookline,MA,2215,2829,46,Yes,1344617,2019-01-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.12212398599996, 42.35147100100005]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1030+Commonwealth+Ave+Brookline+MA,-71.1221295,42.3515058,58732,53
MR281550,MRN281550,4bros Inc,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,630 Beaulieu Street,Holyoke,MA,1040,630 Beaulieu Street,Holyoke,MA,1040,630 Beaulieu Street,Holyoke,MA,1040,31500,9,Yes,1283676,2018-06-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.61703599799995, 42.19218898200006]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,630+Beaulieu+Street+Holyoke+MA,-72.6170572,42.1922362,39880,192
MR282632,MRN282632,"I.N.S.A., Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,122 Pleasant Street,Easthampton,MA,1027,122 Pleasant Street,Easthampton,MA,1027,1200 West Columbus Ave,Springfield,MA,1105,4550,5,Yes,1309430,2019-04-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.588150032, 42.09671001000004]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,122+Pleasant+Street+Easthampton+MA,-72.662218,42.273327,16053,208
MR283027,MRN283027,"Agricultural Healing, Inc.",Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,278 Scranton Avenue,Falmouth,MA,2540,278 Scranton Avenue,Falmouth,MA,2540,1 Lewiston Street,Fall River,MA,2721,250000,35,Yes,1318790,2019-10-02T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.14624701999998, 41.69153099000005]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,278+Scranton+Avenue+Falmouth+MA,-70.6055297,41.551595,31531,164
MR282605,MRN282605,"Holistic Industries, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,155 Northampton Street,Easthampton,MA,1027,1900 West Park Drive,Westborough,MA,1581,155 Northampton Street,Easthampton,MA,1027,4750,3,Yes,1176982,2019-04-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.66827297999998, 42.281911011000034]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,155+Northampton+Street+Easthampton+MA,-72.6681992,42.2818791,16053,208
MR283123,MRN283123,"MME Newton Retail, LLC",Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,50 Congress Street,Boston,MA,2109,50 Congress Street,Boston,MA,2109,232 Boylston Street,Newton,MA,2459,4021,173,Yes,1375668,2019-11-13T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.17736902599995, 42.319424009000045]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,50+Congress+Street+Boston+MA,-71.0560591,42.358008,617594,49.3
MR281650,MRN281650,"Sanctuary Medicinals, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,16 Pearson Blvd,Gardner,MA,1440,234 Taylor Street,Littleton,MA,1460,16 Pearson Blvd,Gardner,MA,1440,2242,33,Yes,1335444,2018-06-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.97972695899995, 42.56648798100008]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,16+Pearson+Blvd+Gardner+MA,-71.9797507,42.5664816,20228,97.7
MR281290,MRN281290,"M3 Ventures, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,9 Collins Avenue,Plymouth,MA,2360,9 Collins Avenue,Plymouth,MA,2360,9 Collins Avenue,Plymouth,MA,2360,46000,11,Yes,1102121,2018-04-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.69127798599999, 41.960378984000045]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,9+Collins+Avenue+Plymouth+MA,-70.6912911,41.9604167,56468,110
MR282028,MRN282028,"Mission MA, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,1024 Commonwealth Ave,Boston,MA,2215,401 E Main Street,Georgetown,MA,1833,1024B Commonwealth Avenue,Brookline,MA,2215,3000,12,Yes,1323176,2018-11-06T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.12178099899995, 42.35147200600005]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1024+Commonwealth+Ave+Boston+MA,-71.1218509,42.3514584,617594,53
MR282991,MRN282991,"Green Leaf Health, Inc",Marijuana Retailer,300,10000,Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,91 George Leven Drive,North Attleboro,MA,2760,91 George Leven Drive,North Attleboro,MA,2760,91 George Leven Drive,North Attleborough,MA,2760,1200,3,Yes,1361822,2019-09-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.304781425, 42.00481392700004]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,91+George+Leven+Drive+North+Attleboro+MA,-71.3044032,42.0054641,0,119
MR282742,MRN282742,"Olde World Remedies, Inc.",Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,50 Congress Street,Boston,MA,2109,50 Congress Street,Boston,MA,2109,953 Western Avenue,Lynn,MA,1901,1938,31,Yes,1326004,2019-05-28T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.97282930299997, 42.45636594400003]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,50+Congress+Street+Boston+MA,-71.0560591,42.358008,617594,49.3
MR281258,MRN281258,"The Haven Center, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,245 Route 6A,Orleans,MA,2653,Po Box 2036,Orleans,MA,2653,"308-310 Commercial Street, Units A3, A4 and A5",Provincetown,MA,2657,2378,29,Yes,1317348,2018-04-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.18589700099994, 42.05202600100006]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,245+Route+6A+Orleans+MA,-70.0062579,41.7762702,5890,189
MR281248,MRN281248,"Late Spring, Inc. D/B/A Gage Cannabis Company",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,38 Littleton Rd,Ayer,MA,1432,38 Littleton Rd,Ayer,MA,1432,38 Littleton Rd,Ayer,MA,1432,4111,22,Yes,1321877,2018-04-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.56590896299997, 42.551844000000074]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,38+Littleton+Rd+Ayer+MA,-71.5659507,42.5518126,7427,59.8
MR282382,MRN282382,ARL Healthcare Inc.,Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,29 Harding Street,Middleboro,MA,2346,29 Harding street,Middleboro,MA,2346,29 Harding Street,Middleborough,MA,2346,8000,3,Yes,1357092,2019-02-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.97260906399998, 41.90224681900003]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,29+Harding+Street+Middleboro+MA,-70.9726516,41.9027688,0,107
MR282160,MRN282160,"The Botanist, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,200 Portland Street,Boston,MA,2114,200 Portland Street,Boston,MA,2114,65 Pullman Street,Worcester,MA,1606,4400,25,Yes,1341613,2018-12-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.79818940999996, 42.323714567000025]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,200+Portland+Street+Boston+MA,-71.0622659,42.3645532,617594,48.1
MR282033,MRN282033,"Temescal Wellness of Massachusetts, LLC",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,665 Cochituate Road,Framingham,MA,1701,665 Cochituate Rd,Framingham,MA,1701,665 Cochituate Road,Framingham,MA,1701,2200,9,Yes,1358393,2018-11-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.38494501399998, 42.30757401000005]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,665+Cochituate+Road+Framingham+MA,-71.3849887,42.3075615,68318,77.8
MR282118,MRN282118,"Nature's Remedy of Massachusetts, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,69 Milk Street,Westborough,MA,1581,69 Milk Street,Westborough,MA,1581,406 Middlesex Road,Tyngsborough,MA,1879,3700,35,Yes,1323893,2018-12-03T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.43641441699998, 42.69444039800004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,69+Milk+Street+Westborough+MA,-71.6179569,42.2715618,18272,102
MR283323,MRN283323,"Heal Sturbridge, Inc.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,4 Irving Road,Weston,MA,2493,1200 Walnut Street,Newton Highlands,MA,2461,660 Main Street,Sturbridge,MA,1566,1696,46,Yes,1401270,2020-03-03T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.12491300499994, 42.11567301900005]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,4+Irving+Road+Weston+MA,-71.3148659,42.3637861,11261,66.2
MR281426,MRN281426,"Health Circle, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,21 Commerce Road,Rockland,MA,2370,44 Amys Way,Scitute,MA,2066,21 Commerce Road,Rockland,MA,2370,19000,7,Yes,1178901,2018-05-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.90239700399997, 42.164773998000044]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,21+Commerce+Road+Rockland+MA,-70.9023862,42.1647651,17489,79.3
MR282948,MRN282948,Solar Therapeutics Inc.,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1400 Brayton Point Rd.,Somerset,MA,2725,1400 Brayton Point Rd,Somerset,MA,2725,1735 Fall River Avenue,Seekonk,MA,2771,1650,11,Yes,1339748,2019-08-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.30581498699996, 41.78299700000008]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1400+Brayton+Point+Rd.+Somerset+MA,-71.1728748,41.7290711,18165,130
MR282578,MRN282578,"HVV Massachusetts, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,38 Great Republic Drive,Gloucester,MA,1930,39 Country Club Way,Ipswich,MA,1938,38 Great Republic Drive,Gloucester,MA,1930,47322,8,Yes,1320060,2019-04-04T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.64533199699997, 42.62870001700003]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,38+Great+Republic+Drive+Gloucester+MA,-70.645259,42.628566,28789,47.9
MR282001,MRN282001,Green Era LLC,Marijuana Retailer,300,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,143-145 Water St,Fitchburg,MA,1420,45 Bodwell St,Avon,MA,2322,143-145 Water St,Fitchburg,MA,1420,3500,100,Yes,1334019,2018-10-29T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.79428279799998, 42.579136436000056]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,143-145+Water+St+Fitchburg+MA,-71.7949028,42.5792307,40318,82.7
MR281337,MRN281337,"Hope Heal Health, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,100 Summer Street,Boston,MA,2110,1 West St,Fall River,MA,2720,1 West Street,Fall River,MA,2720,135763,9,Yes,1350877,2018-04-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.14560001999996, 41.72761001200007]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,100+Summer+Street+Boston+MA,-71.057391,42.3538104,617594,49.5
MR282482,MRN282482,"Nature's Medicines, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,3119 Cranberry Highway,Wareham,MA,2538,971 Providence Road,Whitinsville,MA,1588,3119 Cranberry Highway,Wareham,MA,2538,4600,31,Yes,1179000,2019-03-11T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.64035599599998, 41.754683015000076]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,3119+Cranberry+Highway+Wareham+MA,-70.6403612,41.7546286,21822,139
MR282937,MRN282937,"Legal Greens, LLC",Marijuana Retailer,0,5000,Minority-Owned Business | Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,73-75 Pleasant St,Brockton,MA,2301,"71 Legion Pkwy, suite 25",Brockton,MA,2301,73-75 Pleasant Street,Brockton,MA,2301,2300,21,Yes,1330381,2019-08-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.02218999099995, 42.08578998300004]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,73-75+Pleasant+St+Brockton+MA,-71.0220635,42.0857283,93810,85.6
MR281637,MRN281637,"The Verb is Herb, LLC.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,74 Cottage St,Easthampton,MA,1027,74 Cottage St.,Easthampton,MA,1027,74 Cottage St,Easthampton,MA,1027,1000,56,Yes,1317103,2018-06-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.66598497199993, 42.26439300100003]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,74+Cottage+St+Easthampton+MA,-72.6659776,42.2644697,16053,206
MR281309,MRN281309,Temescal Wellness of Massachusetts,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,252 Coolidge St,Hudson,MA,1749,665 Cochituate Road,Framingham,MA,1701,252 Coolidge Street,Hudson,MA,1749,2700,6,Yes,462527018,2018-04-24T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.60188803099999, 42.39679899200007]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,252+Coolidge+St+Hudson+MA,-71.6019046,42.3967852,19063,72.1
MR282766,MRN282766,GTE Franklin LLC,Marijuana Retailer,300,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,120 Bergeron Way,Stoughton,MA,2072,120 Bergeron Way,Stoughton,MA,2072,1256 West Central St,Franklin,MA,2038,4000,9,Yes,1372977,2019-06-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.44661201699995, 42.08483101000007]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,120+Bergeron+Way+Stoughton+MA,-71.0782031,42.1089005,26962,83.5
MR281352,MRN281352,Pure Oasis LLC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,430 Blue Hill Ave,Boston,MA,2121,398 Columbus Ave,Boston,MA,2116,430 Blue Hill Ave,Boston,MA,2121,3000,3,Yes,1320739,2018-04-30T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.08199004099998, 42.31017126900008]}",4,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,430+Blue+Hill+Ave+Boston+MA,-71.0819784,42.310067,617594,54.6
MR281679,MRN281679,"Herbology Group, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,55 Kestrel Lane,Amherst,MA,1002,55 Kestrel Lane,Amherst,MA,1002,195 Northampton Street,Easthampton,MA,1027,27999,16,Yes,1180219,2018-07-02T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.66317602799997, 42.28465801200008]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,55+Kestrel+Lane+Amherst+MA,-72.4972117,42.3575138,37819,158
MR281942,MRN281942,"Garden Remedies, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,416 Boston Post Road E,Marlborough,MA,1752,307 Airport Road,Fitchburg,MA,1420,416 Boston Post Road E,Marlborough,MA,1752,3100,10,Yes,1112342,2018-10-02T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.51384803999997, 42.34833202000005]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,416+Boston+Post+Road+E+Marlborough+MA,-71.5133227,42.3487498,38499,83.7
MR281281,MRN281281,"Team Green, LLC",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,1292 Blue Hill Ave,Mattapan,MA,2126,476 Canton Street,Stoughton,MA,2072,1292 Blue Hill Avenue,Boston,MA,2126,1300,14,Yes,1321783,2018-04-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.09268095899995, 42.27944899500005]}",4,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1292+Blue+Hill+Ave+Mattapan+MA,-71.0928102,42.2794694,0,61.9
MR283168,MRN283168,"Union Twist, Inc.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,630 Worcester Road,Framingham,MA,1702,"One International Place, Suite 3700",Boston,MA,2110,1158 Beacon Street,Newton,MA,2461,2290,38,Yes,1353659,2019-12-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.21027000799995, 42.33074699600007]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,630+Worcester+Road+Framingham+MA,-71.4225846,42.2978425,68318,81.6
MR283257,MRN283257,Sparkboro Wellness Corp.,Marijuana Retailer,1500,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1015-17 Simonds Road,Williamstown,MA,1267,1015-17 Simonds Road,Williamstown,MA,1267,1015-17 Simonds Road,Williamstown,MA,2167,1845,10,Yes,1398667,2020-01-30T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.21021699999994, 42.738789987000075]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1015-17+Simonds+Road+Williamstown+MA,-73.2099571,42.7386926,7754,229
MR281800,MRN281800,Native Sun Wellness INC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,55 HENSHAW STREET,BRIGHTON,MA,2135,55 HENSHAW STREET,BRIGHTON,MA,2135,37 Coolidge St.,Hudson,MA,1749,4600,19,Yes,1334989,2018-08-14T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.59044521299995, 42.396148061000076]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,55+HENSHAW+STREET+BRIGHTON+MA,-71.152232,42.3501093,0,58.4
MR283098,MRN283098,"6 Bricks, LLC.",Marijuana Retailer,1500,10000,Minority-Owned Business | Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,250 Albany Street,Springfield,MA,1105,250 Albany Street,Springfield,MA,1105,250 Albany Street,Springfield,MA,1105,7850,8,Yes,1347188,2019-11-02T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.57512296199997, 42.12015302000003]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,250+Albany+Street+Springfield+MA,-72.5751784,42.1201107,153060,189
MR281817,MRN281817,SOLAR THERAPEUTICS,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,1400 Brayton Point Rd,SOMERSET,MA,2725,1400 Brayton Point Rd,SOMERSET,MA,2725,1400 Brayton Point Road,Somerset,MA,2725,66000,9,Yes,1339748,2018-08-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.17291002099995, 41.72904000700004]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1400+Brayton+Point+Rd+SOMERSET+MA,-71.1728748,41.7290711,18165,130
MR281701,MRN281701,"Nature's Medicines, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,482 Globe Street,Fall River,MA,2724,971 Providence Road,Whitinsville,MA,1588,482 Globe Street,Fall River,MA,2724,1700,27,Yes,1179000,2018-07-11T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.17207501599995, 41.687856993000025]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,482+Globe+Street+Fall+River+MA,-71.1720747,41.6878705,88857,132
MR281249,MRN281249,"Resinate, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,120 Gilboa Street,Douglas,MA,1516,120 Gilboa Street,Douglas,MA,1516,1191 Millbury Street,Worcester,MA,1607,9200,25,Yes,1323894,2018-04-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.78355999799999, 42.22117398000006]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,120+Gilboa+Street+Douglas+MA,-71.6997806,42.0838899,8471,133
MR283203,MRN283203,"New Leaf Enterprises, Inc.",Marijuana Retailer,0,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,360 Second Street,Fall River,MA,2721,360 Second Street,Fall River,MA,2721,360 Second Street,Fall River,MA,2721,1916,40,Yes,1389777,2019-12-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.15726603699994, 41.697322005000046]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,360+Second+Street+Fall+River+MA,-71.1572405,41.6973024,88857,131
MR282881,MRN282881,Frozen 4 Corporatioon,Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,618 Columbia Road,Dorchester,MA,2125,8 Bayridge Lane,Duxbury,MA,2332,985 Plain Street,Marshfield,MA,2050,11500,79,Yes,832341577,2019-07-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.75861802799994, 42.106270996000035]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,618+Columbia+Road+Dorchester+MA,-71.064293,42.3178452,0,54.7
MR283264,MRN283264,"DMA Holdings (MA), LLC",Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,35 Chase Avenue,Dudley,MA,1571,PO Box 1210,Webster,MA,1570,35 Chase Avenue,Dudley,MA,1571,175000,85,Yes,1391976,2020-02-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.88859899199998, 42.04144699100004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,35+Chase+Avenue+Dudley+MA,-71.8887909,42.0422588,11390,127
MR282808,MRN282808,"Emerald Grove, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,31 Sadies Way,Harwich,MA,2645,31 Sadies Way,Harwich,MA,2645,"3 Main Street, Unit 1",Eastham,MA,2642,2251,48,Yes,1355949,2019-06-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-69.98663703399995, 41.85272001700008]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,31+Sadies+Way+Harwich+MA,-70.0206567,41.7134252,12243,185
MR282638,MRN282638,Eskar Arlington LLC,Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,9 Wildwood Road,Middleton,MA,1949,9 Wildwood Road,Middleton,MA,1949,21 Broadway Street,Arlington,MA,2474,2500,21,Yes,1426220,2019-04-24T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.13493325699994, 42.407603503000075]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,9+Wildwood+Road+Middleton+MA,-71.0297655,42.5786129,8987,21.3
MR282981,MRN282981,"Life Essence, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,216 North King Street,Northampton,MA,1060,3494 Martin Hurst Road,Tallahassee,FL,32312,216 North King Street,Northampton,MA,1060,3800,10,Yes,1353830,2019-09-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.64325400499996, 42.34388801800003]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,216+North+King+Street+Northampton+MA,-72.6432509,42.3438931,28549,217
